呼吸系统;上呼吸道感染;;;;
;急性上呼吸道感染;;;;
;流行性感冒;;;;
;急性扁桃体炎;;;;
;化脓性扁桃体炎;;;;
;疱疹性咽峡炎;;;;
;咽炎;;;;
;急性支气管炎;;;;
;慢性支气管炎;;;;
;慢性阻塞性肺疾病;COPD;;;
;慢性肺源性心脏病;;;;
;阻塞性肺气肿;;;;
;肺气肿;;;;
;肺动脉高压;;;;
;肺大疱;;;;
;肺水肿;;;;
;肺脓肿;;;;
;支气管哮喘;;;;
;支气管扩张症;;;;
;肺栓塞;;;;
;肺癌;;;;
;肺转移癌;;;;
;胸腔积液;胸腔积液;;;
;;左侧胸腔积液;;;
;;右侧胸腔积液;;;
;;双侧胸腔积液;;;
;气胸;;;;
;低氧血症;;;;
;I型呼吸衰竭;;;;
;II型呼吸衰竭;;;;
;急性呼吸窘迫综合征;ARDS;;;
;肺部感染;肺部感染;;;
;;肺炎;;;
;;左肺炎;;;
;;右肺炎;;;
;;双肺炎;;;
;;支原体肺炎;;;
;;细菌性肺炎;;;
循环系统;高血压病;高血压病;;;
;;高血压危象;;;
;;高血压病 1级 低危;;;
;;高血压病 1级 中危;;;
;;高血压病 1级 高危;;;
;;高血压病 2级 中危;;;
;;高血压病 2级 高危;;;
;;高血压病 3级 高危;;;
;;继发性高血压;;;
;冠心病;ST段抬高型心肌梗死;;;
;;稳定型心绞痛;;;
;;不稳定型心绞痛;;;
;;陈旧性心肌梗死;;;
;;非ST段抬高型心肌梗死;;;
;;冠状动脉粥样硬化性心脏病;冠心病;;
;;心肌梗死;;;
;;急性冠状动脉综合征;;;
;心律失常;窦性心动过缓;;;
;;窦性心动过速;;;
;;窦性心律不齐;;;
;;窦性停搏;;;
;;病态窦房结综合征;;;
;;房性期前收缩;房性早搏;;
;;房性心动过速;;;
;;心房扑动;;;
;;持续性房颤;;;
;;阵发性房颤;;;
;;急性房颤;;;
;;慢性房颤;;;
;;心房颤动;;;
;;预激综合征;;;
;;房室交界性心动过速;;;
;;阵发性室上性心动过速;;;
;;阵发性室性心动过速;;;
;;室性期前收缩;室性早搏;;
;;频发室性期前收缩;频发室性早搏;;
;;室性心动过速;;;
;;心室扑动;;;
;;心室颤动;;;
;;一度房室传导阻滞;;;
;;二度Ⅰ型房室传导阻滞;;;
;;二度Ⅱ型房室传导阻滞;;;
;;三度房室传导阻滞;;;
;;完全性左束支传导阻滞;;;
;;完全性右束支传导阻滞;;;
;;不完全性左束支传导阻滞;;;
;;不完全性右束支传导阻滞;;;
;;左前分支传导阻滞;;;
;;右前分支传导阻滞;;;
;心力衰竭;心力衰竭;;;
;;急性心力衰竭;;;
;;急性左心衰竭;;;
;;急性右心衰竭;;;
;;急性全心衰竭;;;
;;慢性心力衰竭;;;
;;慢性左心衰竭;;;
;;慢性右心衰竭;;;
;;慢性全心衰竭;;;
;;心功能Ⅰ级（NYHA分级）;;;
;;心功能Ⅱ级（NYHA分级）;;;
;;心功能Ⅲ级（NYHA分级）;;;
;;心功能Ⅳ级（NYHA分级）;;;
;;心功能Ⅰ级（Killip分级）;;;
;;心功能Ⅱ级（Killip分级）;;;
;;心功能Ⅲ级（Killip分级）;;;
;;心功能Ⅳ级（Killip分级）;;;
;其他;风湿性心脏病;;;
;;心脏瓣膜病;;;
;;心包疾病;急性心包炎;;
;;;心包积液;;
;;;缩窄性心包炎;;
;;心肌炎及心肌病;心肌炎;;
;;;病毒性心肌炎;;
;;;心肌病;;
;;;酒精性心肌病;;
;;;肥厚性心肌病;;
;;;扩张型心肌病;;
;;先天性心脏病;;;
;;感染性心内膜炎;;;
;;心源性猝死;;;
;;甲亢性心脏病;;;
;;经皮冠状动脉介入治疗术后;PCI术后;;
消化系统;食管疾病;barrett食管;巴雷特食管;;
;;反流性食管炎;;;
;;食管癌;;;
;;食管贲门裂孔疝;;;
;;食管憩室;;;
;;胃食管反流病;;;
;胃十二指肠疾病;贲门癌;;;
;;胆汁反流性胃炎;;;
;;急性糜烂出血性胃炎;;;
;;急性胃炎;;;
;;慢性胃炎;;;
;;十二指肠溃疡;;;
;;胃癌;;;
;;胃动力障碍;;;
;;胃溃疡;;;
;;胃瘫;;;
;;应激性溃疡;;;
;;胃十二指肠复合溃疡;;;
;;胃息肉;;;
;;十二指肠息肉;;;
;;胃憩室;;;
;;十二指肠憩室;;;
;胰腺疾病;急性胰腺炎;;;
;;慢性胰腺炎;;;
;;胰腺癌;;;
;;胰腺囊性病变;;;
;;胰腺炎;;;
;;自身免疫性胰腺炎;;;
;肠道疾病;克罗恩病;;;
;;不全肠梗阻;;;
;;肠梗阻;;;
;;肠易激综合征;;;
;;功能性便秘;;;
;;溃疡性结肠炎;;;
;;急性出血性肠炎;;;
;;结肠癌;;;
;;结肠息肉;;;
;;下消化道出血;;;
;;直肠癌;;;
肝胆系统;肝脏疾病;病毒性肝炎;病毒性肝炎  甲型;;
